csv-epoch,step,csv-train_loss_step,csv-val_loss_step,csv-val_loss_epoch,csv-train_loss_epoch,csv-accuracy/validator,csv-accuracy/exact
8,326,0.2199203372001648,,,,,
8,327,0.24895711243152618,,,,,
8,328,0.26579999923706055,,,,,
8,329,0.23762865364551544,,,,,
8,330,0.24315576255321503,,,,,
8,331,0.24589303135871887,,,,,
8,332,0.2505004405975342,,,,,
8,333,0.2311936765909195,,,,,
8,334,0.259021133184433,,,,,
8,335,0.24457761645317078,,,,,
8,336,0.2354576289653778,,,,,
8,337,0.263671875,,,,,
8,338,0.24762719869613647,,,,,
8,339,0.21524110436439514,,,,,
8,340,0.23328536748886108,,,,,
8,341,0.2678854763507843,,,,,
8,342,0.21347452700138092,,,,,
8,343,0.229534313082695,,,,,
8,344,0.2611776292324066,,,,,
8,345,0.21897642314434052,,,,,
8,346,0.23807349801063538,,,,,
8,347,0.21458667516708374,,,,,
8,348,0.21667790412902832,,,,,
8,349,0.24403218924999237,,,,,
8,350,0.24998986721038818,,,,,
8,351,0.2278076708316803,,,,,
8,352,0.2486872673034668,,,,,
8,353,0.2562652826309204,,,,,
8,354,0.23845559358596802,,,,,
8,355,0.23026466369628906,,,,,
8,356,0.25069689750671387,,,,,
8,357,0.243311807513237,,,,,
8,358,0.26061418652534485,,,,,
8,359,0.2458994835615158,,,,,
,40,,0.2252143919467926,,,,
,41,,0.22177693247795105,,,,
,42,,0.22416065633296967,,,,
,43,,0.22786709666252136,,,,
,44,,0.21699178218841553,,,,
8,359,,,0.223202183842659,,,
8,359,,,,0.24165479838848114,1.0,0.11562500149011612
9,360,0.25030428171157837,,,,,
9,361,0.24323426187038422,,,,,
9,362,0.25100159645080566,,,,,
9,363,0.2594357132911682,,,,,
9,364,0.2512742877006531,,,,,
9,365,0.24166318774223328,,,,,
9,366,0.2363799810409546,,,,,
9,367,0.25043806433677673,,,,,
9,368,0.2438323050737381,,,,,
9,369,0.23685389757156372,,,,,
9,370,0.2502032220363617,,,,,
9,371,0.23410865664482117,,,,,
9,372,0.233798086643219,,,,,
9,373,0.23572035133838654,,,,,
9,374,0.2415991723537445,,,,,
9,375,0.24923112988471985,,,,,
9,376,0.2670368552207947,,,,,
9,377,0.23794957995414734,,,,,
9,378,0.21712803840637207,,,,,
9,379,0.22333377599716187,,,,,
9,380,0.22085045278072357,,,,,
9,381,0.2492559254169464,,,,,
9,382,0.19408303499221802,,,,,
9,383,0.22253312170505524,,,,,
9,384,0.24708972871303558,,,,,
9,385,0.2353016436100006,,,,,
9,386,0.24822880327701569,,,,,
9,387,0.23124876618385315,,,,,
9,388,0.2437744140625,,,,,
9,389,0.252156138420105,,,,,
9,390,0.23970291018486023,,,,,
9,391,0.226022407412529,,,,,
9,392,0.25182870030403137,,,,,
9,393,0.23291492462158203,,,,,
9,394,0.22486335039138794,,,,,
9,395,0.2259083241224289,,,,,
9,396,0.2198350727558136,,,,,
9,397,0.250180184841156,,,,,
9,398,0.24142901599407196,,,,,
9,399,0.2350534051656723,,,,,
,45,,0.22320780158042908,,,,
,46,,0.2224477380514145,,,,
,47,,0.2243330180644989,,,,
,48,,0.22827917337417603,,,,
,49,,0.2149573266506195,,,,
9,399,,,0.22264501452445984,,,
9,399,,,,0.23866966366767883,1.0,0.140625
10,400,0.2180638611316681,,,,,
10,401,0.2364301085472107,,,,,
10,402,0.23368529975414276,,,,,
10,403,0.2350960373878479,,,,,
10,404,0.2529052793979645,,,,,
10,405,0.2378353327512741,,,,,
10,406,0.24681930243968964,,,,,
10,407,0.2330039143562317,,,,,
10,408,0.22371535003185272,,,,,
10,409,0.24995803833007812,,,,,
10,410,0.2203596830368042,,,,,
10,411,0.2512173354625702,,,,,
10,412,0.23583632707595825,,,,,
10,413,0.22868655622005463,,,,,
10,414,0.280975878238678,,,,,
10,415,0.2268231362104416,,,,,
10,416,0.2105139046907425,,,,,
10,417,0.2459309995174408,,,,,
10,418,0.22681939601898193,,,,,
10,419,0.25187748670578003,,,,,
10,420,0.21390564739704132,,,,,
10,421,0.2315923422574997,,,,,
10,422,0.2329588681459427,,,,,
10,423,0.22324535250663757,,,,,
10,424,0.22641544044017792,,,,,
10,425,0.2422429323196411,,,,,
10,426,0.2536633312702179,,,,,
10,427,0.2251223921775818,,,,,
10,428,0.23869796097278595,,,,,
10,429,0.24682526290416718,,,,,
10,430,0.24370142817497253,,,,,
10,431,0.23203428089618683,,,,,
10,432,0.24369032680988312,,,,,
10,433,0.23279784619808197,,,,,
10,434,0.22893041372299194,,,,,
10,435,0.24932384490966797,,,,,
10,436,0.20968709886074066,,,,,
10,437,0.22726687788963318,,,,,
10,438,0.23279738426208496,,,,,
10,439,0.22423237562179565,,,,,
,50,,0.22341516613960266,,,,
,51,,0.22103147208690643,,,,
,52,,0.2217034101486206,,,,
,53,,0.22763299942016602,,,,
,54,,0.21466627717018127,,,,
10,439,,,0.2216898500919342,,,
10,439,,,,0.23514211177825928,1.0,0.13437500596046448
11,440,0.21757487952709198,,,,,
11,441,0.24238663911819458,,,,,
11,442,0.23797106742858887,,,,,
11,443,0.224085733294487,,,,,
11,444,0.24220649898052216,,,,,
11,445,0.222660630941391,,,,,
11,446,0.23756174743175507,,,,,
11,447,0.22809118032455444,,,,,
11,448,0.22907130420207977,,,,,
11,449,0.2326308637857437,,,,,
11,450,0.2290755957365036,,,,,
11,451,0.258635014295578,,,,,
11,452,0.21354864537715912,,,,,
11,453,0.24327464401721954,,,,,
11,454,0.22629383206367493,,,,,
11,455,0.24853739142417908,,,,,
11,456,0.24537888169288635,,,,,
11,457,0.21859754621982574,,,,,
11,458,0.22219513356685638,,,,,
11,459,0.2510107159614563,,,,,
11,460,0.24066554009914398,,,,,
11,461,0.23272863030433655,,,,,
11,462,0.23782427608966827,,,,,
11,463,0.24696820974349976,,,,,
11,464,0.2308814972639084,,,,,
11,465,0.25218549370765686,,,,,
11,466,0.24676203727722168,,,,,
11,467,0.23974010348320007,,,,,
11,468,0.2258274406194687,,,,,
11,469,0.23506945371627808,,,,,
11,470,0.22086350619792938,,,,,
11,471,0.20980198681354523,,,,,
11,472,0.24104171991348267,,,,,
11,473,0.2541593611240387,,,,,
11,474,0.2045864760875702,,,,,
11,475,0.2293863147497177,,,,,
11,476,0.2237750142812729,,,,,
11,477,0.2590126395225525,,,,,
11,478,0.21776863932609558,,,,,
11,479,0.22726526856422424,,,,,
,55,,0.22158262133598328,,,,
,56,,0.2218354344367981,,,,
,57,,0.22259917855262756,,,,
,58,,0.22805720567703247,,,,
,59,,0.2131895124912262,,,,
11,479,,,0.22145278751850128,,,
11,479,,,,0.23367753624916077,1.0,0.12187500298023224
12,480,0.20869603753089905,,,,,
12,481,0.22765129804611206,,,,,
12,482,0.2358534336090088,,,,,
12,483,0.2434832751750946,,,,,
12,484,0.23193688690662384,,,,,
12,485,0.21662086248397827,,,,,
12,486,0.220423623919487,,,,,
12,487,0.22428356111049652,,,,,
12,488,0.21368809044361115,,,,,
12,489,0.23800255358219147,,,,,
12,490,0.23541902005672455,,,,,
12,491,0.21782054007053375,,,,,
12,492,0.21983298659324646,,,,,
12,493,0.2177862823009491,,,,,
12,494,0.24705415964126587,,,,,
12,495,0.2513587474822998,,,,,
12,496,0.2131296545267105,,,,,
12,497,0.22131100296974182,,,,,
12,498,0.24378493428230286,,,,,
12,499,0.2595527470111847,,,,,
12,500,0.22183920443058014,,,,,
12,501,0.22525614500045776,,,,,
12,502,0.25679653882980347,,,,,
12,503,0.23976673185825348,,,,,
12,504,0.2267676293849945,,,,,
12,505,0.23260527849197388,,,,,
12,506,0.24246014654636383,,,,,
12,507,0.22593039274215698,,,,,
12,508,0.22471857070922852,,,,,
12,509,0.22986635565757751,,,,,
12,510,0.23639176785945892,,,,,
12,511,0.25422704219818115,,,,,
12,512,0.2292807400226593,,,,,
12,513,0.24428845942020416,,,,,
12,514,0.2282438427209854,,,,,
12,515,0.23031547665596008,,,,,
12,516,0.22187580168247223,,,,,
12,517,0.24446451663970947,,,,,
12,518,0.2223924994468689,,,,,
12,519,0.2246481329202652,,,,,
,60,,0.22116969525814056,,,,
,61,,0.22081810235977173,,,,
,62,,0.2222389429807663,,,,
,63,,0.22706754505634308,,,,
,64,,0.2135896533727646,,,,
12,519,,,0.2209767997264862,,,
12,519,,,,0.23124563694000244,1.0,0.10000000149011612
13,520,0.22681763768196106,,,,,
13,521,0.22455191612243652,,,,,
13,522,0.25005531311035156,,,,,
13,523,0.22760529816150665,,,,,
13,524,0.227283775806427,,,,,
13,525,0.24634981155395508,,,,,
13,526,0.23310449719429016,,,,,
13,527,0.23374317586421967,,,,,
13,528,0.22937989234924316,,,,,
13,529,0.2189617156982422,,,,,
13,530,0.2083912491798401,,,,,
13,531,0.23029011487960815,,,,,
