csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-accuracy/exact,csv-train_loss_epoch
0.15405835211277008,56,224,,,,,
0.1480962187051773,56,225,,,,,
0.1341962218284607,56,226,,,,,
0.1406860500574112,56,227,,,,,
,,56,0.13166844844818115,,,,
,56,227,,0.13166844844818115,,,
,56,227,,,0.8500000238418579,0.6000000238418579,0.14425921440124512
0.1500857174396515,57,228,,,,,
0.15697751939296722,57,229,,,,,
0.13416112959384918,57,230,,,,,
0.15405313670635223,57,231,,,,,
,,57,0.13422024250030518,,,,
,57,231,,0.13422024250030518,,,
,57,231,,,0.75,0.5,0.14881935715675354
0.1520984023809433,58,232,,,,,
0.10596863180398941,58,233,,,,,
0.14939013123512268,58,234,,,,,
0.15857543051242828,58,235,,,,,
,,58,0.13715727627277374,,,,
,58,235,,0.13715727627277374,,,
,58,235,,,0.800000011920929,0.550000011920929,0.14150814712047577
0.16199898719787598,59,236,,,,,
0.1284703016281128,59,237,,,,,
0.12690508365631104,59,238,,,,,
0.13348689675331116,59,239,,,,,
,,59,0.13309477269649506,,,,
,59,239,,0.13309477269649506,,,
,59,239,,,0.8499999642372131,0.6500000357627869,0.13771530985832214
0.1409400850534439,60,240,,,,,
0.11979009956121445,60,241,,,,,
0.11550760269165039,60,242,,,,,
0.1362229734659195,60,243,,,,,
,,60,0.14900924265384674,,,,
,60,243,,0.14900924265384674,,,
,60,243,,,0.75,0.5,0.1281151920557022
0.12441731989383698,61,244,,,,,
0.13262273371219635,61,245,,,,,
0.13086019456386566,61,246,,,,,
0.10844296216964722,61,247,,,,,
,,61,0.14314672350883484,,,,
,61,247,,0.14314672350883484,,,
,61,247,,,0.75,0.5,0.12408579885959625
