csv-epoch,csv-train_loss_step,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/validator,csv-train_loss_epoch,csv-accuracy/exact
64,,324,,,0.0,0.01379374973475933,1.0
65,0.018095053732395172,325,,,,,
65,0.024445490911602974,326,,,,,
65,0.01026973407715559,327,,,,,
65,0.01789860427379608,328,,,,,
65,0.014627200551331043,329,,,,,
,,65,0.03261123597621918,,,,
65,,329,,0.03261123597621918,,,
65,,329,,,0.0,0.017067216336727142,1.0
66,0.01375744491815567,330,,,,,
66,0.010165690444409847,331,,,,,
66,0.00948724802583456,332,,,,,
66,0.01643732190132141,333,,,,,
66,0.0221801046282053,334,,,,,
,,66,0.03186945244669914,,,,
66,,334,,0.03186945617198944,,,
66,,334,,,0.0,0.014405561611056328,1.0
67,0.01615353487432003,335,,,,,
67,0.015556718222796917,336,,,,,
67,0.017447222024202347,337,,,,,
67,0.006323972251266241,338,,,,,
67,0.02663790062069893,339,,,,,
,,67,0.03267070651054382,,,,
67,,339,,0.032670699059963226,,,
67,,339,,,0.0,0.016423869878053665,1.0
