csv-train_loss_step,csv-epoch,step,csv-val_loss_step,csv-val_loss_epoch,csv-accuracy/exact,csv-accuracy/validator,csv-train_loss_epoch
,60,182,,,0.7916666269302368,0.0,0.0479486919939518
0.04481355473399162,61,183,,,,,
0.043777432292699814,61,184,,,,,
0.04017464444041252,61,185,,,,,
,,61,0.022889873012900352,,,,
,61,185,,0.02288987673819065,,,
,61,185,,,0.9583333134651184,0.0,0.0434713251888752
0.05596216022968292,62,186,,,,,
0.03238411247730255,62,187,,,,,
0.08508750051259995,62,188,,,,,
,,62,0.022194774821400642,,,,
,62,188,,0.022194774821400642,,,
,62,188,,,0.9166666269302368,0.0,0.05235600471496582
0.02988462522625923,63,189,,,,,
0.058588214218616486,63,190,,,,,
0.04154752194881439,63,191,,,,,
,,63,0.020919857546687126,,,,
,63,191,,0.020919859409332275,,,
,63,191,,,0.9166666269302368,0.0,0.043698638677597046
0.038375888019800186,64,192,,,,,
0.053977660834789276,64,193,,,,,
0.03146225959062576,64,194,,,,,
,,64,0.02026514522731304,,,,
,64,194,,0.02026514522731304,,,
,64,194,,,0.9166666865348816,0.0,0.04323386400938034
0.03512830659747124,65,195,,,,,
0.05255081132054329,65,196,,,,,
0.03217970207333565,65,197,,,,,
,,65,0.020276127383112907,,,,
,65,197,,0.020276129245758057,,,
,65,197,,,0.9166666865348816,0.0,0.04150759056210518
0.030806224793195724,66,198,,,,,
0.0555572435259819,66,199,,,,,
0.03648422285914421,66,200,,,,,
,,66,0.01994301937520504,,,,
,66,200,,0.01994301937520504,,,
,66,200,,,0.9166666865348816,0.0,0.041842229664325714
0.041622094810009,67,201,,,,,
0.03473764657974243,67,202,,,,,
0.047969572246074677,67,203,,,,,
,,67,0.019177032634615898,,,,
,67,203,,0.019177032634615898,,,
,67,203,,,0.9166666269302368,0.0,0.04013780876994133
0.026793554425239563,68,204,,,,,
0.03990725427865982,68,205,,,,,
0.0744132548570633,68,206,,,,,
,,68,0.019522231072187424,,,,
,68,206,,0.019522229209542274,,,
,68,206,,,0.9166666269302368,0.0,0.04156297445297241
0.03550177067518234,69,207,,,,,
0.04614795371890068,69,208,,,,,
0.03630656749010086,69,209,,,,,
,,69,0.019533060491085052,,,,
,69,209,,0.019533060491085052,,,
,69,209,,,0.9166666269302368,0.0,0.03992120176553726
0.037821006029844284,70,210,,,,,
0.0367535799741745,70,211,,,,,
0.040509726852178574,70,212,,,,,
,,70,0.019235670566558838,,,,
,70,212,,0.01923566870391369,,,
,70,212,,,0.9583333134651184,0.0,0.03793177753686905
0.04227564483880997,71,213,,,,,
0.03438233584165573,71,214,,,,,
0.045999567955732346,71,215,,,,,
,,71,0.019050320610404015,,,,
,71,215,,0.019050322473049164,,,
,71,215,,,0.9583333134651184,0.0,0.03986310213804245
0.04236787557601929,72,216,,,,,
0.032508231699466705,72,217,,,,,
0.03395508974790573,72,218,,,,,
,,72,0.021316537633538246,,,,
,72,218,,0.021316535770893097,,,
,72,218,,,0.9166666865348816,0.0,0.0367414616048336
0.03388434275984764,73,219,,,,,
0.03823741525411606,73,220,,,,,
0.026927784085273743,73,221,,,,,
,,73,0.02205631509423256,,,,
,73,221,,0.02205631695687771,,,
,73,221,,,0.9166666865348816,0.0,0.03423426300287247
0.038537558168172836,74,222,,,,,
0.029108507558703423,74,223,,,,,
0.0320354588329792,74,224,,,,,
,,74,0.020421233028173447,,,,
,74,224,,0.020421233028173447,,,
,74,224,,,0.9583333134651184,0.0,0.03346552327275276
0.03172311186790466,75,225,,,,,
0.034760981798172,75,226,,,,,
0.02656642161309719,75,227,,,,,
,,75,0.019345583394169807,,,,
,75,227,,0.019345583394169807,,,
,75,227,,,0.9166666269302368,0.0,0.03190692514181137
0.02908647432923317,76,228,,,,,
0.03894840180873871,76,229,,,,,
0.019954191520810127,76,230,,,,,
,,76,0.0188592579215765,,,,
,76,230,,0.0188592579215765,,,
,76,230,,,0.9166666269302368,0.0,0.031204786151647568
0.032383568584918976,77,231,,,,,
0.024974633008241653,77,232,,,,,
0.03734365850687027,77,233,,,,,
,,77,0.018311701714992523,,,,
,77,233,,0.018311703577637672,,,
,77,233,,,0.9583333134651184,0.0,0.030412012711167336
0.02345539815723896,78,234,,,,,
0.042584799230098724,78,235,,,,,
0.015662020072340965,78,236,,,,,
,,78,0.018438149243593216,,,,
,78,236,,0.018438149243593216,,,
,78,236,,,0.9583333134651184,0.0,0.029548481106758118
0.03355710580945015,79,237,,,,,
0.03964250907301903,79,238,,,,,
0.02431095391511917,79,239,,,,,
,,79,0.016758950427174568,,,,
,79,239,,0.016758950427174568,,,
,79,239,,,0.9583333134651184,0.0,0.034142039716243744
0.044827718287706375,80,240,,,,,
0.024819090962409973,80,241,,,,,
0.01621183380484581,80,242,,,,,
,,80,0.015696674585342407,,,,
,80,242,,0.015696674585342407,,,
,80,242,,,0.9583333134651184,0.0,0.031101087108254433
0.03086639940738678,81,243,,,,,
0.02765551209449768,81,244,,,,,
0.01679183728992939,81,245,,,,,
,,81,0.015756839886307716,,,,
,81,245,,0.015756839886307716,,,
,81,245,,,0.9583333134651184,0.0,0.026767130941152573
0.031980935484170914,82,246,,,,,
